Quotazioni Fantacalcio;;;;;;
Id;R;Nome;Squadra;Qt. A;Qt. I;Diff.
4978;C;DAMSGAARD;Sampdoria;9;14;-5
4404;C;THORSBY;Sampdoria;9;9;0
1933;C;MANDRAGORA;Torino;9;10;-1
1972;C;TORREIRA;Fiorentina;9;9;0
383;A;PETAGNA;Napoli;9;11;-2
643;A;DEFREL;Sassuolo;9;12;-3
5673;A;ANTISTE;Spezia;9;4;5
1857;A;DI FRANCESCO F.;Empoli;9;5;4
4964;P;VICARIO;Empoli;8;6;2
787;D;DJIMSITI;Atalanta;8;10;-2
513;D;ACERBI;Lazio;8;12;-4
2784;D;COLLEY;Sampdoria;8;9;-1
5514;D;VASQUEZ;Genoa;8;7;1
287;D;CACERES;Cagliari;8;5;3
5397;C;KOVALENKO;Spezia;8;5;3
4869;C;DOMINGUEZ;Bologna;8;6;2
4415;C;SKOV OLSEN;Bologna;8;9;-1
1871;C;DEIOLA;Cagliari;8;2;6
2161;C;HAAS;Empoli;8;7;1
2166;C;BENTANCUR;Juventus;8;9;-1
264;C;BESSA;Verona;8;5;3
4498;C;HENDERSON L.;Empoli;8;3;5
4884;A;CARLES PEREZ;Roma;8;8;0
245;A;PANDEV;Genoa;8;12;-4
5676;A;SUCCESS;Udinese;8;7;1
2815;P;TERRACCIANO;Fiorentina;7;1;6
4957;P;MONTIPO';Verona;7;9;-2
2130;D;HATEBOER;Atalanta;7;13;-6
2181;D;PALOMINO;Atalanta;7;8;-1
5323;D;MARTINEZ QUARTA;Fiorentina;7;5;2
253;D;D'AMBROSIO;Inter;7;5;2
140;D;HYSAJ;Lazio;7;6;1
1852;D;SPINAZZOLA;Roma;7;13;-6
2104;D;BERESZYNSKI;Sampdoria;7;7;0
640;D;CHIRICHES;Sassuolo;7;6;1
1895;D;FERRARI G.;Sassuolo;7;10;-3
2318;D;ROGERIO;Sassuolo;7;6;1
4426;D;TOLJAN;Sassuolo;7;5;2
2169;D;RODRIGUEZ R.;Torino;7;5;2
4412;D;RODRIGO BECAO;Udinese;7;5;2
22;C;DE ROON;Atalanta;7;11;-4
2154;C;VIGNATO;Bologna;7;10;-3
526;C;DUNCAN;Fiorentina;7;4;3
560;C;OBI;Salernitana;7;4;3
2825;C;BOURABIA;Spezia;7;4;3
5329;C;MAKENGO;Udinese;7;2;5
5486;C;CRNIGOJ;Venezia;7;3;4
2011;C;MIGUEL VELOSO;Verona;7;8;-1
4890;C;TAMEZE;Verona;7;7;0
2117;C;KASTANOS;Salernitana;7;5;2
